seed,split,threshold,temperature,auc,bal_acc,f1_macro,acc,recall_0,recall_1,tn,fp,fn,tp
17,val,0.75,1.729406476020813,0.9481266801075269,0.9002436155913979,0.9002436155913979,0.924,0.8515625,0.9489247311827957,109,19,19,353
17,test,0.75,1.729406476020813,0.9477460307459677,0.8718918010752688,0.8490390469166844,0.878,0.859375,0.8844086021505376,220,36,86,658
27,val,0.65,1.870870590209961,0.939474126344086,0.8965893817204301,0.9059094257249007,0.93,0.828125,0.9650537634408602,106,22,13,359
27,test,0.65,1.870870590209961,0.9438712827620968,0.8717867943548387,0.8647379587798592,0.895,0.82421875,0.9193548387096774,211,45,60,684
37,val,0.76,1.6987898349761963,0.9422673051075269,0.9053679435483871,0.9012474012474012,0.924,0.8671875,0.9435483870967742,111,17,21,351
37,test,0.76,1.6987898349761963,0.9393507434475806,0.8621261760752688,0.8419908653301831,0.873,0.83984375,0.8844086021505376,215,41,86,658
