row_label,mode,geometry,expand_ratio,auc,bal_acc,f1_macro,acc,threshold,recall_0,recall_1
auto_rect_expand_0.3_current,auto,rect,0.3,0.9438607820900538,0.8717867943548387,0.8647379587798592,0.895,0.65,0.82421875,0.9193548387096774
auto_rect_expand_0.4_best_auc,auto,rect,0.4,0.9458401587701614,0.8679855510752688,0.8462301587301587,0.876,0.74,0.8515625,0.8844086021505376
oracle_rect_expand_0.3_classifier_protocol,oracle,rect,0.3,0.9541540658602151,0.880880376344086,0.8708292887553699,0.899,0.71,0.84375,0.918010752688172
oracle_square_expand_0.3_probe,oracle,square,0.3,0.9562752016129032,0.8822664650537635,0.8552324868114343,0.882,0.72,0.8828125,0.8817204301075269
