metric,mean,std,mean_std
test_auc,0.943656018985215,0.004201781297954841,0.9437 +/- 0.0042
test_bal_acc,0.8686015905017921,0.005608119167711552,0.8686 +/- 0.0056
test_f1_macro,0.8519226236755756,0.011644476213870112,0.8519 +/- 0.0116
test_acc,0.882,0.011532562594670805,0.8820 +/- 0.0115
test_recall_0,0.8411458333333334,0.01761425684696443,0.8411 +/- 0.0176
test_recall_1,0.8960573476702509,0.02017621908458368,0.8961 +/- 0.0202
