name,base_name,display_name_cfg,fold_idx,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
TRANSXNETGGG_aul_struct_confirm_f0,TRANSXNETGGG_aul_struct_confirm,TransXNet-GGG,0,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200624,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGGG_aul_struct_confirm_f0,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,1,1,0.942045,0.86,0.8823529411764706,0.925,0.8523166023166023,0.9414772727272727,1.0,0.85,22,0,12,68,0.8188976377952756,0.8678272082527402,0.7989538165049213,0.8778207607994841,0.9696969696969697,0.7659574468085106,32,1,22,72
TRANSXNETGGG_aul_struct_confirm_f1,TRANSXNETGGG_aul_struct_confirm,TransXNet-GGG,1,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200747,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGGG_aul_struct_confirm_f1,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,1,1,0.768068,0.8,0.696078431372549,0.7772791686348607,0.6893604479811377,0.7675956542276807,0.9655172413793104,0.589041095890411,28,1,30,43,0.7480314960629921,0.8297872340425532,0.7341705913134484,0.8778207607994841,1.0,0.6595744680851063,33,0,32,62
TRANSXNETGGG_aul_struct_confirm_f2,TRANSXNETGGG_aul_struct_confirm,TransXNet-GGG,2,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200911,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGGG_aul_struct_confirm_f2,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,3,0.951569,0.86,0.9313725490196079,0.9556962025316456,0.9107834562039235,0.9504678040726472,1.0,0.9113924050632911,23,0,7,72,0.7716535433070866,0.7375886524822695,0.7212593657761295,0.8758865248226949,0.6666666666666666,0.8085106382978723,22,11,18,76
TRANSXNETGGG_aul_struct_confirm_f3,TRANSXNETGGG_aul_struct_confirm,TransXNet-GGG,3,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_201108,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGGG_aul_struct_confirm_f3,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,8,0.831431,0.73,0.8316831683168316,0.8658911325724319,0.8261617900172117,0.83099209833187,0.9705882352941176,0.7611940298507462,33,1,16,51,0.7007874015748031,0.7978723404255319,0.6906410256410256,0.8755641521598968,1.0,0.5957446808510638,33,0,38,56
TRANSXNETGGG_aul_struct_confirm_f4,TRANSXNETGGG_aul_struct_confirm,TransXNet-GGG,4,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_201414,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGGG_aul_struct_confirm_f4,custom,transxnet_t,models.transxnetggg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,13,0.923684,0.85,0.8811881188118812,0.9210526315789473,0.8603686635944701,0.9231578947368421,1.0,0.8421052631578947,25,0,12,64,0.8031496062992126,0.8670212765957447,0.7859502460729455,0.8765312701482915,1.0,0.7340425531914894,33,0,25,69
