mode,n_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,avg_total_ms_mean,avg_total_ms_std,p95_total_ms_mean,p95_total_ms_std,peak_java_heap_mb_mean,peak_native_heap_mb_mean
GGG-MCA+TTA,2,0.894000,0.000000,0.876239,0.000000,0.864917,0.000000,0.946625,0.000000,226.232587,13.348180,246.649497,7.538061,100.106911,202.190102
GGG-MCA Ensemble,2,0.892000,0.000000,0.872333,0.000000,0.862041,0.000000,0.948457,0.000000,738.596113,2.253601,763.512669,1.340279,110.664120,472.198181
