name,base_name,display_name_cfg,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
OURS_GGG_MCAON_autoCW_exp030_s17,OURS_GGG_MCAON_autoCW_exp030,Ours-GGG-MCAON,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\tn5000_roi_runs_ggg_mca_enabled_3seed\20260426_093735,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,OURS_GGG_MCAON_autoCW_exp030_s17,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,40,0.965495,0.81,0.88,0.8911710349462365,0.8554662658264439,0.961819556451613,0.9140625,0.8682795698924731,117,11,49,323,0.861,0.8771211357526882,0.8353031784116829,0.9486412130376344,0.91015625,0.8440860215053764,233,23,116,628
OURS_GGG_MCAON_autoCW_exp030_s27,OURS_GGG_MCAON_autoCW_exp030,Ours-GGG-MCAON,27,C:\Users\Afr1ste\PycharmProjects\Thyroid\tn5000_roi_runs_ggg_mca_enabled_3seed\20260426_121126,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,OURS_GGG_MCAON_autoCW_exp030_s27,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,48,0.96203,0.73,0.926,0.9118363575268817,0.9045560307690721,0.9655997983870968,0.8828125,0.9408602150537635,113,15,22,350,0.895,0.8743489583333333,0.8653913458173246,0.948761970766129,0.83203125,0.9166666666666666,213,43,62,682
OURS_GGG_MCAON_autoCW_exp030_s37,OURS_GGG_MCAON_autoCW_exp030,Ours-GGG-MCAON,37,C:\Users\Afr1ste\PycharmProjects\Thyroid\tn5000_roi_runs_ggg_mca_enabled_3seed\20260426_143912,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,OURS_GGG_MCAON_autoCW_exp030_s37,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,47,0.963794,0.77,0.926,0.9143985215053764,0.9050186112180721,0.9640877016129032,0.890625,0.9381720430107527,114,14,23,349,0.881,0.866221438172043,0.8502751037694186,0.9474808887768817,0.8359375,0.896505376344086,214,42,77,667
