name,base_name,display_name_cfg,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
TRANSXNET_tn5000_p0_current_s17,TRANSXNET_tn5000_p0_current,TransXNet,17,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_030251,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_tn5000_p0_current_s17,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,51,0.952474,0.87,0.868,0.8933551747311828,0.8451692815854666,0.9565692204301075,0.9453125,0.8413978494623656,121,7,59,313,0.834,0.8615381384408602,0.808646415463214,0.9519279233870968,0.91796875,0.8051075268817204,235,21,145,599
TRANSXNET_tn5000_p0_current_s27,TRANSXNET_tn5000_p0_current,TransXNet,27,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_043227,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_tn5000_p0_current_s27,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,62,0.956023,0.7,0.912,0.9049899193548387,0.8888978668390433,0.9609585013440861,0.890625,0.9193548387096774,114,14,30,342,0.89,0.883799563172043,0.8629904940313677,0.9493920110887097,0.87109375,0.896505376344086,223,33,77,667
TRANSXNET_tn5000_p0_current_s37,TRANSXNET_tn5000_p0_current,TransXNet,37,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_060750,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_tn5000_p0_current_s37,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,52,0.952747,0.74,0.892,0.8864247311827957,0.8654815759580701,0.9554981518817205,0.875,0.8978494623655914,112,16,38,334,0.868,0.8638902889784946,0.8380566801619433,0.9471238659274194,0.85546875,0.8723118279569892,219,37,95,649
