name,base_name,display_name_cfg,fold_idx,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
TRANSXNETGGG_busi_struct_ablation_f0,TRANSXNETGGG_busi_struct_ablation,TransXNet-GGG,0,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_busi_struct_ablation_f0,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,200,0.957791,0.76,0.9134615384615384,0.9102564102564104,0.9081542537533117,0.9633136094674557,0.9230769230769231,0.8974358974358975,60,5,4,35,0.8062015503875969,0.7814685314685315,0.7898338220918866,0.9033466533466534,0.9090909090909091,0.6538461538461539,70,7,18,34
TRANSXNETGGG_busi_struct_ablation_f1,TRANSXNETGGG_busi_struct_ablation,TransXNet-GGG,1,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_busi_struct_ablation_f1,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,198,0.890937,0.63,0.8461538461538461,0.8325652841781874,0.8375,0.8882488479262673,0.9032258064516129,0.7619047619047619,56,6,10,32,0.813953488372093,0.8004495504495504,0.8040506329113923,0.9058441558441558,0.8701298701298701,0.7307692307692307,67,10,14,38
TRANSXNETGGG_busi_struct_ablation_f2,TRANSXNETGGG_busi_struct_ablation,TransXNet-GGG,2,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_busi_struct_ablation_f2,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,199,0.913672,0.67,0.8365384615384616,0.834375,0.8295903614457831,0.915234375,0.84375,0.825,54,10,7,33,0.813953488372093,0.8004495504495504,0.8040506329113923,0.9083416583416584,0.8701298701298701,0.7307692307692307,67,10,14,38
TRANSXNETGGG_busi_struct_ablation_f3,TRANSXNETGGG_busi_struct_ablation,TransXNet-GGG,3,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_busi_struct_ablation_f3,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,122,0.890224,0.46,0.8640776699029126,0.8455528846153846,0.8523751023751024,0.8878205128205128,0.921875,0.7692307692307693,59,5,9,30,0.7984496124031008,0.7874625374625375,0.7892156862745099,0.8768731268731269,0.8441558441558441,0.7307692307692307,65,12,14,38
TRANSXNETGGG_busi_struct_ablation_f4,TRANSXNETGGG_busi_struct_ablation,TransXNet-GGG,4,17,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506,ok,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_busi_struct_ablation_f4,custom,transxnet_t,models.transxnetggg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,200,0.944048,0.77,0.8932038834951457,0.8807539682539682,0.8859357696566998,0.9448412698412698,0.9365079365079365,0.825,59,4,7,33,0.8372093023255814,0.8105644355644356,0.8217411331183786,0.9043456543456543,0.948051948051948,0.6730769230769231,73,4,17,35
