method,type,input,params_m,macs_g,cuda_ms,cuda_fps,tn_auc,busi_auc,aul_auc,mean_auc,mean_balacc
MobileNetV3-Large,Mobile CNN,256x256,4.86,0.28,3.17,315.1,0.8282,0.7947,0.7357,0.7862,0.7183
EfficientNet-B0,Efficient CNN,256x256,4.66,0.50,6.53,153.1,0.7856,0.7659,0.6099,0.7205,0.6682
EfficientFormer-L1,Hybrid,224x224,11.62,1.31,3.41,293.0,0.9249,0.7917,0.7196,0.8121,0.7330
RepViT-M1.1,Mobile CNN,256x256,8.04,1.80,5.19,192.5,0.8403,0.8028,0.6797,0.7743,0.7020
UL-TransXNet,Ours,256x256,14.37,2.36,30.23,33.1,0.9483,0.8998,0.8767,0.9083,0.8296
DenseNet121,CNN,256x256,7.48,3.70,7.19,139.1,0.9360,0.8154,0.6729,0.8081,0.7401
ResNet50,CNN,256x256,24.56,5.40,3.25,307.5,0.6531,0.7519,0.5481,0.6510,0.6190
ConvNeXt-Tiny,ConvNet,256x256,28.21,5.82,3.30,303.3,0.9508,0.8050,0.8274,0.8611,0.7651
Swin-T,Transformer,256x256,27.91,7.11,6.32,158.3,0.9497,0.8190,0.8319,0.8669,0.7901
