name,base_name,display_name_cfg,fold_idx,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
TRANSXNETGGG_NOMCA_busi_clean_f0,TRANSXNETGGG_NOMCA_busi_clean,TransXNet-GGG-noMCA,0,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_nomca_clean_5fold_safe\20260427_123522,ok,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_NOMCA_busi_clean_f0,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,85,0.940828,0.24,0.8557692307692307,0.8794871794871795,0.8534798534798536,0.9388560157790927,0.7846153846153846,0.9743589743589743,51,14,1,38,0.7751937984496124,0.7804695304695305,0.7716814159292036,0.8776223776223776,0.7532467532467533,0.8076923076923077,58,19,10,42
TRANSXNETGGG_NOMCA_busi_clean_f1,TRANSXNETGGG_NOMCA_busi_clean,TransXNet-GGG-noMCA,1,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_nomca_clean_5fold_safe\20260427_125801,ok,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_NOMCA_busi_clean_f1,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,56,0.895545,0.33,0.8365384615384616,0.8360215053763441,0.8320509166904151,0.8959293394777266,0.8387096774193549,0.8333333333333334,52,10,7,35,0.7751937984496124,0.767982017982018,0.7671335200746965,0.8628871128871128,0.8051948051948052,0.7307692307692307,62,15,14,38
TRANSXNETGGG_NOMCA_busi_clean_f2,TRANSXNETGGG_NOMCA_busi_clean,TransXNet-GGG-noMCA,2,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_nomca_clean_5fold_safe\20260427_131522,ok,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_NOMCA_busi_clean_f2,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,33,0.872266,0.32,0.7788461538461539,0.7875,0.7741478613917477,0.864453125,0.75,0.825,48,16,7,33,0.7131782945736435,0.7222777222777224,0.7106746681214766,0.8563936063936064,0.6753246753246753,0.7692307692307693,52,25,12,40
TRANSXNETGGG_NOMCA_busi_clean_f3,TRANSXNETGGG_NOMCA_busi_clean,TransXNet-GGG-noMCA,3,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_nomca_clean_5fold_safe\20260427_133234,ok,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_NOMCA_busi_clean_f3,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,20,0.883413,0.49,0.8640776699029126,0.8305288461538461,0.8463341858482523,0.8782051282051282,0.96875,0.6923076923076923,62,2,12,27,0.751937984496124,0.7172827172827172,0.7240641711229947,0.8354145854145854,0.8961038961038961,0.5384615384615384,69,8,24,28
TRANSXNETGGG_NOMCA_busi_clean_f4,TRANSXNETGGG_NOMCA_busi_clean,TransXNet-GGG-noMCA,4,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_nomca_clean_5fold_safe\20260427_134732,ok,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGGG_NOMCA_busi_clean_f4,custom,transxnet_t,models.transxnetggg_nomca,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,43,0.899603,0.32,0.8349514563106796,0.8376984126984126,0.8297520661157025,0.9011904761904761,0.8253968253968254,0.85,52,11,6,34,0.7984496124031008,0.7874625374625375,0.7892156862745099,0.8618881118881119,0.8441558441558441,0.7307692307692307,65,12,14,38
