"device","manufacturer","model","sdk_int","folder","note","threshold","cold_runs_per_mode","hot_runs_per_mode","mode","phase","n_runs","auc_mean","avg_total_ms_mean","avg_inference_ms_mean","p95_total_ms_mean","mode_prepare_ms_mean"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_20260514_003320","xiaomi_24129pn74c_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD","hot","3","0.955157","31.31181","30.024281","34.023272","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_20260514_003320","xiaomi_24129pn74c_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD CPU-4T","cold","1","0.955157","32.281988","30.997156","34.527884","65.82927"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_20260514_003320","xiaomi_24129pn74c_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD CPU-4T","hot","3","0.955157","31.573962","30.189879","33.191069","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_20260514_003320","xiaomi_24129pn74c_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD XNNPACK-4T","cold","1","0.955157","41.575585","40.059978","48.098427","143.145312"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_20260514_003320","xiaomi_24129pn74c_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD XNNPACK-4T","hot","3","0.955157","42.402724","40.858722","48.882827","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_kd_20260514_004144","xiaomi_24129pn74c_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD","cold","1","0.951089","40.245777","38.645173","42.302557","82.877343"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_kd_20260514_004144","xiaomi_24129pn74c_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD","hot","3","0.951089","40.364062","38.699307","43.29717","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_kd_20260514_004144","xiaomi_24129pn74c_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD CPU-4T","cold","1","0.951089","40.129387","38.568165","42.458994","81.389947"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_kd_20260514_004144","xiaomi_24129pn74c_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD CPU-4T","hot","3","0.951089","39.984119","38.424749","43.682063","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_kd_20260514_004144","xiaomi_24129pn74c_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD XNNPACK-4T","cold","1","0.951089","42.526505","40.967697","48.416214","175.591094"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_kd_20260514_004144","xiaomi_24129pn74c_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD XNNPACK-4T","hot","3","0.951089","42.907874","41.364351","50.024678","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_only_20260514_005120","xiaomi_24129pn74c_strict_formal_eca_only_1cold3hot","0.490000","1","3","EffFormer-L1+ECA","cold","1","0.927779","40.34583","38.732077","42.956794","84.857656"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_only_20260514_005120","xiaomi_24129pn74c_strict_formal_eca_only_1cold3hot","0.490000","1","3","EffFormer-L1+ECA","hot","3","0.927779","40.517342","38.871781","43.547365","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_nnapi_20260514_005501","xiaomi_24129pn74c_strict_formal_eca_kd_nnapi_1cold2hot","0.870000","1","2","EffFormer-L1+ECA+KD NNAPI","cold","1","0.955157","173.184371","171.373982","183.582995","258.278333"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_nnapi_20260514_005501","xiaomi_24129pn74c_strict_formal_eca_kd_nnapi_1cold2hot","0.870000","1","2","EffFormer-L1+ECA+KD NNAPI","hot","2","0.955157","159.080026","157.470827","179.902434","0"
"Xiaomi 24129PN74C","Xiaomi","24129PN74C","36","xiaomi_24129pn74c_strict_eca_kd_nnapi_fp16_nchw_20260514_010358","xiaomi_24129pn74c_strict_formal_eca_kd_nnapi_fp16_nchw_2hot","0.870000","0","2","EffFormer-L1+ECA+KD NNAPI-FP16-NCHW","hot","2","0.955157","169.337287","167.839544","180.425112","124.247266"
