dataset,n_cases,n_positive,n_negative,n_runs_averaged,threshold_mean,auc,auc_ci_low,auc_ci_high,bal_acc,bal_acc_ci_low,bal_acc_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,f1_macro,f1_macro_ci_low,f1_macro_ci_high,acc,acc_ci_low,acc_ci_high,ece_10,ece_10_ci_low,ece_10_ci_high,brier,brier_ci_low,brier_ci_high
TN5000,1000,744,256,3,0.77,0.9540228074596774,0.938109103367782,0.9675901396537636,0.87890625,0.8536884334992888,0.9011362632749444,0.875,0.8510616073016061,0.8981239449905669,0.8828125,0.8406103199143724,0.9209486166007905,0.9559471365638766,0.9396678498985801,0.970415293716623,0.7084639498432602,0.6571428571428571,0.7575780814277747,0.8498855835240274,0.8237602483993747,0.8734969525263622,0.877,0.855,0.897,0.023676079459870405,0.018861347475182928,0.04255872771262448,0.06831073025189084,0.05735956836497069,0.08004992881979808
BUSI,129,52,77,5,0.658,0.9023476523476524,0.8428644501278773,0.9493857493857494,0.8038211788211789,0.7295911620176327,0.8720270091256991,0.7115384615384616,0.5833333333333334,0.8333333333333334,0.8961038961038961,0.8194444444444444,0.958904109589041,0.8222222222222222,0.7073170731707317,0.926829268292683,0.8214285714285714,0.740231507622812,0.8990151515151513,0.8100147275405007,0.7345568717111499,0.8750796135948213,0.8217054263565892,0.751937984496124,0.8837209302325582,0.10352728489710582,0.08617824174588061,0.18038749234397333,0.13171118770209597,0.10309033086939169,0.16329408650466468
AUL,127,94,33,5,0.82,0.8752417794970987,0.8113647960827267,0.9275839218294568,0.8829787234042553,0.8372093023255813,0.925531914893617,0.7659574468085106,0.6744186046511628,0.851063829787234,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4782608695652174,0.7254901960784313,0.8087349397590362,0.7362956810631229,0.8749097117341913,0.8267716535433071,0.7637795275590551,0.889763779527559,0.10405853728609761,0.05375994184120427,0.17113978662242096,0.15582082350026277,0.11910119647956642,0.1942853380534795
