dataset,ours_model,baseline_model,ours_auc,baseline_auc,ours_bal_acc,baseline_bal_acc,ours_f1,baseline_f1,ours_acc,baseline_acc,ours_sens,baseline_sens,ours_spec,baseline_spec,delta_auc,delta_auc_ci_low,delta_auc_ci_high,p_auc,delta_bal_acc,delta_bal_acc_ci_low,delta_bal_acc_ci_high,p_bal_acc,delta_f1,delta_f1_ci_low,delta_f1_ci_high,p_f1,delta_acc,delta_acc_ci_low,delta_acc_ci_high,p_acc,delta_sens,delta_sens_ci_low,delta_sens_ci_high,p_sens,delta_spec,delta_spec_ci_low,delta_spec_ci_high,p_spec
AUL,Ours,Swin-T,0.8214676889375685,0.836801752464403,0.7987404162102957,0.7792990142387732,0.8096767287518732,0.7762872628726287,0.8346456692913385,0.7952755905511811,0.9156626506024096,0.8313253012048193,0.6818181818181818,0.7272727272727273,-0.014413289521723263,-0.09145673603504934,0.060788608981380166,0.7053333333333334,0.020518985031033214,-0.05010952902519161,0.09229531763417313,0.5353333333333333,0.03420750526929135,-0.03682407961291942,0.10395250671649803,0.33066666666666666,0.04023884514435695,-0.023622047244094446,0.10236220472440949,0.25,0.08473493975903613,0.02409638554216864,0.15662650602409633,0.012,-0.0436969696969697,-0.18181818181818177,0.06875000000000211,0.6193333333333333
BUSI,Ours,Swin-T,0.8528050896471949,0.8256217466743783,0.7738577212261423,0.7508675534991325,0.7440476190476191,0.7352216748768473,0.7674418604651163,0.7674418604651163,0.7894736842105263,0.7105263157894737,0.7582417582417582,0.7912087912087912,0.027804993252361673,-0.02862926547137079,0.08791208791208793,0.356,0.023561162521688838,-0.056127096587622854,0.10641989589358003,0.5806666666666667,0.009277896984414669,-0.07103294931145555,0.09166772793504904,0.8306666666666667,9.560723514211933e-05,-0.07751937984496127,0.07751937984496127,1.0,0.08067543859649122,-0.052631578947368474,0.21052631578947367,0.32666666666666666,-0.03355311355311355,-0.13186813186813184,0.06593406593406592,0.5733333333333334
TN5000,Ours,Swin-T,0.9630368394220917,0.9513856235677269,0.9148555476912874,0.8865689297610857,0.9126165676526226,0.8722526865737574,0.929,0.893,0.9471488178025035,0.9012517385257302,0.8825622775800712,0.8718861209964412,0.011636405182497781,-0.0014849855720925397,0.026248768802062845,0.08333333333333333,0.02827618925059023,0.0036824573473438482,0.05242057226575059,0.023333333333333334,0.04039137739491816,0.017232470539062874,0.06470330064812611,0.0013333333333333333,0.036038000000000014,0.017000000000000015,0.05600000000000005,0.0013333333333333333,0.0459972183588317,0.025034770514603566,0.06954102920723226,0.0,0.010555160142348755,-0.03202846975088969,0.053380782918149516,0.6893333333333334
