dataset,n_runs,n_per_run,source,prediction_sources,auc,auc_std,auc_ci_low,auc_ci_high,bal_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,f1_macro,f1_macro_std,f1_macro_ci_low,f1_macro_ci_high,acc,acc_std,acc_ci_low,acc_ci_high,ece_10,ece_10_std,ece_10_ci_low,ece_10_ci_high,brier,brier_std,brier_ci_low,brier_ci_high
TN5000,3,1000;1000;1000,C:\Users\Afr1ste\PycharmProjects\Thyroid\tn5000_ggg_mca_enabled_3seed_logs\20260426_093728\all_runs_metrics.csv,C:\Users\Afr1ste\PycharmProjects\Thyroid\tn5000_roi_runs_ggg_mca_enabled_3seed\20260426_093735\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\tn5000_roi_runs_ggg_mca_enabled_3seed\20260426_121126\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\tn5000_roi_runs_ggg_mca_enabled_3seed\20260426_143912\test_predictions.csv,0.948294690860215,0.00057755287225558,0.9474808887768817,0.948761970766129,0.8725638440860215,0.004625352346531559,0.866221438172043,0.8771211357526882,0.8503232093328087,0.012283490005325618,0.8353031784116829,0.8653913458173246,0.879,0.013952299690970912,0.861,0.895,0.021962826751554528,0.0038402734970765548,0.01737149073195177,0.02677072006272651,0.07406730498665869,0.0021846481597076,0.07230504703016698,0.07714612969990904
BUSI,5,129;129;129;129;129,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_ggg_mca_clean_5fold_safe_logs\20260426_165332\all_runs_metrics.csv,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\test_predictions.csv,0.8997502497502498,0.011561683324019412,0.887962037962038,0.9067432567432567,0.7960789210789211,0.010351236479695842,0.7864635364635364,0.8044955044955044,0.8017783814615119,0.01191076417290452,0.7923063027653617,0.8118215708716829,0.813953488372093,0.012971473279598094,0.8031007751937984,0.8263565891472868,0.06957342292871616,0.012403086764204698,0.058562541991840446,0.07958010491922267,0.13584184221455955,0.0017240953575830206,0.13413058161534305,0.137176911980219
AUL,5,127;127;127;127;127,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_ggg_mca_clean_5fold_safe_logs\20260426_200618\all_runs_metrics.csv,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200624\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200747\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200911\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_201108\test_predictions.csv|C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_201414\test_predictions.csv,0.8767246937459703,0.0009475782370534462,0.875886524822695,0.8775628626692455,0.8200193423597679,0.048734985173785605,0.775531914893617,0.8598968407479046,0.746195009061694,0.040537855480539314,0.7115942748295517,0.7808142122727677,0.768503937007874,0.041843559860114725,0.7307086614173228,0.8031496062992126,0.12826644365243087,0.03746010902934754,0.09163041659227505,0.15548369898570802,0.1596631659974661,0.004327011360825371,0.1556898101835486,0.16327853460849856
