dataset,mode,fold,split,threshold,temperature,acc,bal_acc,f1_macro,auc,recall_0,recall_1,tn,fp,fn,tp,n,run_dir,data_root,used_ckpts
busi,auto,0,val,0.62,1.542214274406433,0.8942307692307693,0.9051282051282051,0.8905786704925873,0.9495069033530571,0.8615384615384616,0.9487179487179487,56,9,2,37,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch200_auc_0.9578.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch199_auc_0.9574.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch198_auc_0.9570.pth
busi,auto,0,test,0.62,1.542214274406433,0.8294573643410853,0.8165584415584415,0.820379746835443,0.8766233766233766,0.8831168831168831,0.75,68,9,13,39,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch200_auc_0.9578.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch199_auc_0.9574.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch198_auc_0.9570.pth
busi,auto,1,val,0.69,2.209771156311035,0.8365384615384616,0.8168202764976958,0.8247248934271836,0.8629032258064516,0.9193548387096774,0.7142857142857143,57,5,12,30,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold1_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch198_auc_0.8909.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch197_auc_0.8906.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch195_auc_0.8902.pth
busi,auto,1,test,0.69,2.209771156311035,0.7984496124031008,0.7656093906093906,0.7758021390374332,0.8728771228771229,0.935064935064935,0.5961538461538461,72,5,21,31,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold1_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch198_auc_0.8909.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch197_auc_0.8906.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch195_auc_0.8902.pth
busi,auto,2,val,0.7,2.2854928970336914,0.8461538461538461,0.8328125,0.8358974358974358,0.8857421875,0.890625,0.775,57,7,9,31,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold2_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch199_auc_0.9137.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch196_auc_0.9133.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch195_auc_0.9129.pth
busi,auto,2,test,0.7,2.2854928970336914,0.813953488372093,0.787962037962038,0.7972760607647983,0.8898601398601398,0.922077922077922,0.6538461538461539,71,6,18,34,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold2_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch199_auc_0.9137.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch196_auc_0.9133.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch195_auc_0.9129.pth
busi,auto,3,val,0.45,2.1043484210968018,0.8446601941747572,0.8249198717948718,0.8312858312858313,0.8701923076923076,0.90625,0.7435897435897436,58,6,10,29,103,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold3_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch122_auc_0.8902.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch114_auc_0.8898.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch113_auc_0.8894.pth
busi,auto,3,test,0.45,2.1043484210968018,0.7829457364341085,0.7775974025974026,0.775819265143992,0.842907092907093,0.8051948051948052,0.75,62,15,13,39,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold3_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch122_auc_0.8902.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch114_auc_0.8898.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch113_auc_0.8894.pth
busi,auto,4,val,0.72,1.644585132598877,0.8932038834951457,0.8898809523809523,0.8880987654320988,0.9492063492063492,0.9047619047619048,0.875,57,6,5,35,103,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold4_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch200_auc_0.9440.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch187_auc_0.9433.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch185_auc_0.9425.pth
busi,auto,4,test,0.72,1.644585132598877,0.7906976744186046,0.7716033966033966,0.7769738105910227,0.8801198801198802,0.8701298701298701,0.6730769230769231,67,10,17,35,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506,<LOCAL_THYROID_ROOT>\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold4_predbox,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch200_auc_0.9440.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch187_auc_0.9433.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch185_auc_0.9425.pth
busi,full,0,val,0.63,4.005682945251465,0.8365384615384616,0.8435897435897436,0.8308943089430895,0.8690335305719921,0.8153846153846154,0.8717948717948718,53,12,5,34,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch200_auc_0.9578.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch199_auc_0.9574.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch198_auc_0.9570.pth
busi,full,0,test,0.63,4.005682945251465,0.7209302325581395,0.7069180819180819,0.7081447963800905,0.7694805194805195,0.7792207792207793,0.6346153846153846,60,17,19,33,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch200_auc_0.9578.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch199_auc_0.9574.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch198_auc_0.9570.pth
busi,full,1,val,0.58,5.560818195343018,0.7307692307692307,0.7511520737327189,0.7303703703703703,0.7757296466973886,0.6451612903225806,0.8571428571428571,40,22,6,36,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch198_auc_0.8909.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch197_auc_0.8906.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch195_auc_0.8902.pth
busi,full,1,test,0.58,5.560818195343018,0.7364341085271318,0.7292707292707292,0.727780536246276,0.7692307692307693,0.7662337662337663,0.6923076923076923,59,18,16,36,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch198_auc_0.8909.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch197_auc_0.8906.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch195_auc_0.8902.pth
busi,full,2,val,0.6,6.421316146850586,0.7692307692307693,0.7703125,0.7621044605413648,0.8080078124999999,0.765625,0.775,49,15,9,31,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch199_auc_0.9137.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch196_auc_0.9133.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch195_auc_0.9129.pth
