name,base_name,display_name_cfg,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
TRANSXNETG_tn5000_p0_current_s17,TRANSXNETG_tn5000_p0_current,TransXNet-G,17,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_104259,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_tn5000_p0_current_s17,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,50,0.955246,0.85,0.868,0.898479502688172,0.8462656529516994,0.95497311827957,0.9609375,0.8360215053763441,123,5,61,311,0.834,0.8641003024193548,0.8092830882352942,0.9467930947580645,0.92578125,0.8024193548387096,237,19,147,597
TRANSXNETG_tn5000_p0_current_s27,TRANSXNETG_tn5000_p0_current,TransXNet-G,27,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_122819,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_tn5000_p0_current_s27,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,54,0.939779,0.83,0.886,0.8875168010752688,0.8601398601398602,0.9480216733870968,0.890625,0.8844086021505376,114,14,43,329,0.875,0.8801243279569892,0.8483817480735385,0.9497805359543011,0.890625,0.8696236559139785,228,28,97,647
TRANSXNETG_tn5000_p0_current_s37,TRANSXNETG_tn5000_p0_current,TransXNet-G,37,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_141748,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_tn5000_p0_current_s37,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,55,0.961022,0.7,0.916,0.9128024193548387,0.8944320443988658,0.965788810483871,0.90625,0.9193548387096774,116,12,30,342,0.889,0.8792842741935484,0.8609717697542206,0.9476383988575269,0.859375,0.8991935483870968,220,36,75,669
TRANSXNETGG_tn5000_p0_current_s17,TRANSXNETGG_tn5000_p0_current,TransXNet-GG,17,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_160241,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGG_tn5000_p0_current_s17,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,45,0.961967,0.66,0.918,0.8987735215053764,0.8937157492521218,0.957997311827957,0.859375,0.9381720430107527,110,18,23,349,0.901,0.8873487903225806,0.8742823618153628,0.9514291414650539,0.859375,0.9153225806451613,220,36,63,681
TRANSXNETGG_tn5000_p0_current_s27,TRANSXNETGG_tn5000_p0_current,TransXNet-GG,27,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_175446,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGG_tn5000_p0_current_s27,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,49,0.968477,0.76,0.926,0.916960685483871,0.9054728656028532,0.9709761424731183,0.8984375,0.9354838709677419,115,13,24,348,0.887,0.8792212701612903,0.859097852177437,0.953125,0.86328125,0.8951612903225806,221,35,78,666
TRANSXNETGG_tn5000_p0_current_s37,TRANSXNETGG_tn5000_p0_current,TransXNet-GG,37,<LOCAL_THYROID_ROOT>\tn5000_roi_runs_p0_structure_current_3seed\20260429_194954,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGG_tn5000_p0_current_s37,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,48,0.958858,0.86,0.894,0.8928931451612903,0.8688372046981029,0.9607064852150538,0.890625,0.8951612903225806,114,14,39,333,0.86,0.8687626008064516,0.8323682534208849,0.9505103326612904,0.88671875,0.8508064516129032,227,29,111,633
