mode,n_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,avg_total_ms_mean,avg_total_ms_std,avg_inference_ms_mean,avg_inference_ms_std,p95_total_ms_mean,p95_total_ms_std,peak_java_heap_mb_mean,peak_native_heap_mb_mean
GGG-MCA,5,0.890000,0.000000,0.868223,0.000000,0.865047,0.000000,0.943318,0.000000,168.449763,0.248946,166.806219,0.251855,170.528814,0.399901,33.484677,296.714551
EffFormer-L1+KD,5,0.910000,0.000000,0.890803,0.000000,0.889114,0.000000,0.963433,0.000000,55.954062,0.601598,54.697119,0.629684,67.713832,19.368175,33.198184,92.878528
EffFormer-L1+ECA+KD,5,0.900000,0.000000,0.878429,0.000000,0.876793,0.000000,0.957568,0.000000,56.158779,0.133631,54.851712,0.134211,58.327874,0.091916,33.175449,157.984338
